POINT ID,EASTING,NORTHING,ELEVATION,DESCRIPTION
918,445533.465,1679247.467,267.988,GP
919,445540.712,1679250.795,268.299,GP
920,445546.432,1679253.37,268.151,GP
921,445549.74,1679257.849,267.143,GP
922,445555.518,1679261.877,266.335,GP
923,445560.845,1679262.48,266.503,GP
924,445568.604,1679259.103,268.308,GP
925,445568.785,1679252.493,270.334,GP
926,445563.44,1679248.444,271.276,GP
927,445552.497,1679245.742,271.468,GP
928,445543.986,1679240.172,272.084,GP
929,445536.45,1679234.571,272.267,GP
930,445543.383,1679225.087,274.274,GP
931,445553.128,1679230.242,274.019,GP
932,445564.981,1679235.474,273.066,GP
933,445570.921,1679224.597,272.809,GP
934,445558.369,1679222.152,274.465,GP
935,445548.481,1679218.658,274.919,GP
936,445547.144,1679210.44,275.121,GP
937,445555.849,1679209.732,274.713,GP
938,445442.766,1679282.208,272.974,GP
939,445450.058,1679281.155,272.863,GP
940,445443.221,1679287.871,272.173,GP
941,445440.96,1679293.427,271.728,GP
942,445447.88,1679297.606,270.606,GP
943,445451.707,1679281.987,272.516,GP
944,445461.99,1679289.842,268.432,GP
945,445455.939,1679276.606,272.88,GP
946,445467.821,1679288.704,267.519,GP
947,445470.724,1679284.825,268.21,GP
948,445465.03,1679273.907,271.895,GP
949,445471.238,1679269.562,271.478,GP
950,445475.985,1679272.543,269.306,GP
951,445480.703,1679265.971,268.592,GP
952,445478.616,1679277.744,267.886,GP
953,445484.495,1679273.495,266.865,GP
954,445490.108,1679272.6,265.165,GP
955,445484.542,1679281.83,265.6,GP
956,445477.458,1679283.912,266.439,GP
957,445472.659,1679288.341,266.19,GP
958,445448.426,1679302.09,269.908,GP
959,445441.028,1679302.612,270.153,GP
960,445443.296,1679266.05,276.209,GP
961,445451.021,1679271.066,274.679,GP
962,445456.921,1679266.717,274.392,GP
963,445459.54,1679259.606,274.484,GP
964,445463.286,1679254.304,274.638,GP
965,445464.523,1679250.806,274.589,GP
966,445465.005,1679241.473,274.904,GP
967,445460.642,1679242.321,276.274,GP
968,445456.092,1679253.322,276.109,GP
969,445452.371,1679261.64,276.036,GP
970,445448.489,1679267.252,275.509,GP
971,445444.543,1679263.436,276.522,GP
972,445447.441,1679255.717,276.952,GP
973,445452.245,1679246.487,277.582,GP
974,445453.957,1679237.292,278.434,GP
975,445450.936,1679236.311,278.775,GP
976,445447.34,1679240.975,278.562,GP
977,445442.668,1679248.932,278.485,GP
978,445441.704,1679241.739,279.383,GP
979,445442.975,1679232.937,279.731,GP
980,445445.945,1679224.333,279.89,GP
981,445563.3873,1679363.758,249.145,GP
982,445565.69,1679350.12,247.195,GP
983,445571.5788,1679346.564,247.685,GP
984,445561.8916,1679351.182,246.842,GP
985,445565.3925,1679342.816,245.001,GP
986,445563.9079,1679337.733,244.54,GP
987,445570.8296,1679335.905,245.842,GP
988,445576.2141,1679341.499,248.742,GP
989,445574.3505,1679356.963,248.842,GP
990,445568.1543,1679356.036,248.812,GP
991,445553.9305,1679374.403,248.942,GP
992,445570.4802,1679407.328,247.502,GP
993,445564.3322,1679366.698,249.179,GP
994,445555.6047,1679371.782,249.179,GP
995,445574.9195,1679370.036,246.159,GP
996,445547.3093,1679379.654,249.272,GP
997,445548.7075,1679382.848,249.449,GP
998,445575.0729,1679355.825,248.079,GP
999,445541.6407,1679371.054,248.875,GP
1000,445529.307,1679382.426,247.882,GP
1001,445533.2259,1679394.082,249.689,GP
1002,445540.6354,1679383.1,248.029,GP
1003,445541.5196,1679361.366,248.372,GP
1004,445541.4085,1679355.446,247.112,GP
1005,445533.5665,1679374.323,248.792,GP
1006,445446.668,1679391.38,271.74,GP
1007,445458.643,1679394.355,270.47,GP
1008,445449.935,1679385.279,270.312,GP
1009,445441.816,1679392.849,272.177,GP
1010,445449.599,1679403.086,272.159,GP
1011,445572.693,1679405.755,249.116,GP
1012,445565.341,1679383.156,249.637,GP
1013,445575.779,1679372.851,249.507,GP
1014,445572.607,1679368.793,249.755,GP
1015,445561.374,1679390.192,249.635,GP
1016,445560.37,1679376.01,249.982,GP
1017,445551.006,1679365.698,249.387,GP
1018,445538.798,1679405.89,250.739,GP
1019,445539.869,1679363.007,248.918,GP
1020,445534.757,1679377.935,249.601,GP
1021,445530.948,1679389.094,250.056,GP
1022,445552.245,1679382.931,250.026,GP
1023,445549.479,1679392.067,250.287,GP
1024,445557.323,1679355.08,247.874,GP
1025,445565.46,1679362.322,249.462,GP
1026,445569.765,1679353.568,248.964,GP
1027,445556.867,1679360.964,248.99,GP
1028,445536.466,1679365.328,248.907,GP
1029,445535.131,1679358.506,246.017,GP
1030,445539.46,1679351.463,245.324,GP
1031,445536.704,1679346.025,245.093,GP
1032,445535.367,1679340.687,244.737,GP
1033,445535.064,1679333.177,244.667,GP
1034,445534.092,1679327.118,244.791,GP
1035,445530.189,1679327.219,245.923,GP
1036,445528.119,1679335.337,247.198,GP
1037,445523.932,1679345.041,247.606,GP
1038,445518.741,1679349.054,248.122,GP
1039,445574.584,1679332.765,246.747,GP
1040,445572.99,1679339.582,247.73,GP
1041,445568.307,1679351.046,248.386,GP
1042,445485.168,1679356.904,248.234,GP
1043,445482.334,1679362.098,250.096,GP
1044,445479.883,1679368.06,250.885,GP
1045,445504.177,1679355.628,248.852,GP
1046,445505.925,1679363.525,249.305,GP
1047,445508.063,1679371.08,248.839,GP
1048,445498.822,1679366.506,249.71,GP
1049,445497.638,1679361.025,249.646,GP
1050,445497.03,1679354.354,248.608,GP
1051,445521.388,1679351.197,248.44,GP
1052,445500.652,1679376.492,249.884,GP
1053,445526.802,1679345.465,247.968,GP
1054,445513.808,1679353.542,248.662,GP
1055,445501.092,1679387.161,250.654,GP
1056,445505.412,1679403.587,252.978,GP
1057,445445.591,1679308.967,269.111,GP
1058,445451.625,1679311.218,268.156,GP
1059,445444.893,1679314.16,268.037,GP
1060,445448.06,1679362.063,262.1,GP
1061,445468.8773,1679356.967,246.87,GP
1062,445463.62,1679355.701,246.79,GP
1063,445465.359,1679349.828,246.704,GP
1064,445467.925,1679344.234,246.647,GP
1065,445475.434,1679337.529,246.482,GP
1066,445483.3574,1679330.167,246.355,GP
1067,445476.042,1679346.459,246.395,GP
1068,445482.232,1679343.092,246.377,GP
1069,445485.847,1679337.311,246.244,GP
1070,445489.314,1679342.113,246.171,GP
1071,445498.69,1679346.058,245.991,GP
1072,445540.068,1679345.01,244.7,GP
1073,445501.727,1679339.15,245.955,GP
1074,445497.327,1679332.427,245.922,GP
1075,445494.986,1679324.547,246,GP
1076,445500.023,1679320.456,245.83,GP
1077,445504.791,1679327.371,245.729,GP
1078,445507.241,1679334.48,245.738,GP
1079,445509.648,1679340.54,245.73,GP
1080,445515.317,1679339.567,245.586,GP
1081,445520.628,1679333.94,245.344,GP
1082,445515.302,1679328.922,245.341,GP
1083,445511.517,1679322.979,245.354,GP
1084,445508.013,1679318.218,245.604,GP
1085,445504.048,1679313.127,245.791,GP
1086,445512.656,1679309.842,245.415,GP
1087,445518.469,1679308.167,245.24,GP
1088,445521.242,1679313.751,245.113,GP
1089,445523.058,1679322.115,245.116,GP
1090,445525.2013,1679327.656,244.842,GP
1091,445529.597,1679317.408,244.87,GP
1092,445527.084,1679309.596,244.924,GP
1093,445536.772,1679308.799,244.913,GP
1094,445529.568,1679325.324,244.945,GP
1095,445534.72,1679331.178,244.73,GP
1096,445535.955,1679338.308,244.613,GP
1097,445540.418,1679327.55,244.673,GP
1098,445542.619,1679336.162,244.505,GP
1099,445543.893,1679342.253,244.691,GP
1100,445545.737,1679348.374,244.917,GP
1101,445725.569,1679295.186,244.953,GP
1102,445730.641,1679299.84,244.956,GP
1103,445731.612,1679304.621,245.466,GP
1104,445726.866,1679307.341,245.928,GP
1105,445723.4,1679303.188,245.66,GP
1106,445717.398,1679306.609,246.236,GP
1107,445743.916,1679305.394,245.111,GP
1108,445751.647,1679304.609,244.61,GP
1109,445756.346,1679307.529,244.38,GP
1110,445729.786,1679293.111,244.852,GP
1111,445732.648,1679286.436,244.933,GP
1112,445737.143,1679291.387,244.897,GP
1113,445738.386,1679285.991,244.916,GP
1114,445744.238,1679285.292,244.821,GP
1115,445744.364,1679290.148,244.906,GP
1116,445749.868,1679290.217,244.696,GP
1117,445753.643,1679286.749,244.412,GP
1118,445749.658,1679282.779,244.762,GP
1119,445745.947,1679279.145,244.897,GP
1120,445741.628,1679275.028,245.074,GP
1121,445735.933,1679277.057,245.291,GP
1122,445736.675,1679270.813,245.336,GP
1123,445738.062,1679266.259,245.518,GP
1124,445742.891,1679270.883,245.184,GP
1125,445746.79,1679274.897,245.094,GP
1126,445750.607,1679278.189,244.857,GP
1127,445753.801,1679281.548,245.071,GP
1128,445758.116,1679285.174,245.221,GP
1129,445773.2421,1679291.506,243.11,GP
1130,445763.614,1679290.037,244.637,GP
1131,445762.003,1679293.81,244.298,GP
1132,445762.741,1679299.223,244.51,GP
1133,445764.186,1679304.455,244.211,GP
1134,445752.702,1679306.057,244.517,GP
1135,445748.314,1679301.307,244.932,GP
1136,445755.803,1679301.935,244.369,GP
1137,445756.511,1679295.635,244.329,GP
1138,445750.836,1679298.38,244.782,GP
1139,445755.977,1679291.707,244.326,GP
1140,445749.524,1679293.447,244.858,GP
1141,445744.332,1679293.7,245.067,GP
1142,445739.114,1679296.002,245.136,GP
1143,445733.676,1679298.118,244.976,GP
1144,445766.975,1679299.178,245.186,GP
1145,445770.484,1679296.612,245.042,GP
1146,445775.172,1679301.112,245.127,GP
1147,445772.149,1679304.98,245.328,GP
1148,445781.541,1679306.645,244.701,GP
1149,445754.113,1679273.535,244.01,GP
1150,445715.69,1679237.438,245.5,GP
1151,445724.2142,1679272.733,246.072,GP
1152,445722.93,1679268.946,243.63,GP
1153,445719.474,1679278.974,243.58,GP
1154,445721.31,1679277.615,243.63,GP
1155,445723.927,1679275.831,243.63,GP
1156,445720.801,1679268.116,243.63,GP
1157,445717.482,1679267.478,243.632,GP
1158,445719.695,1679279.833,243.584,GP
1159,445721.527,1679285.065,243.488,GP
1160,445720.646,1679289.883,243.62,GP
1161,445716.925,1679293.645,243.612,GP
1162,445717.913,1679296.667,245.025,GP
1163,445722.16,1679292.783,244.75,GP
1164,445725.005,1679284.642,244.725,GP
1165,445723.791,1679278.898,245.294,GP
1166,445724.7995,1679276.174,245.7,GP
1167,445723.482,1679268.406,245.939,GP
1168,445720.856,1679263.503,245.418,GP
1169,445716.277,1679260.53,244.732,GP
1170,445723.085,1679289.623,244.688,GP
1171,445477.295,1679372.923,251.872,GP
1172,445449.039,1679348.342,257.92,GP
1173,445450.977,1679348.142,257.79,GP
1174,445449.8893,1679349.545,257.82,GP
1175,445494.5745,1679308.687,252.372,GP
1176,445516.4085,1679346.874,246.569,GP
